date,channel,device,sessions,users,pageviews,bounce_rate,avg_session_duration,conversions,revenue,marketing_cost
2026-02-03,Referral,Tablet,20,16,48,0.371,99.0,0.0,0.0,32.31
2026-09-04,Direct,Tablet,139,109,359,0.355,141.0,5.0,4602.85,0.0
2026-03-20,Referral,Desktop,132,107,373,0.449,152.0,2.0,1953.5,209.38
2026-11-07,Paid Search,Desktop,320,279,1013,0.525,211.0,8.0,5384.36,2739.87
2026-06-21,Referral,Mobile,214,188,545,0.469,107.0,7.0,5708.8,360.25
2026-10-20,Organic Search,Mobile,639,562,1844,0.405,115.0,16.0,11775.77,0.0
2026-12-11,Organic Search,Desktop,526,446,1536,0.42,166.0,25.0,20352.38,0.0
2026-05-01,Paid Search,Desktop,432,381,962,0.413,165.0,14.0,10161.39,3792.93
2026-06-24,Paid Search,Desktop,433,342,1382,0.501,163.0,22.0,15273.15,3650.85
2026-05-13,Email,Tablet,134,107,376,0.287,189.0,6.0,4955.2,157.96
2026-01-31,Paid Search,Mobile,412,341,895,0.385,133.0,8.0,6354.76,2991.38
2026-03-25,Social Media,Mobile,448,352,1197,0.552,150.0,8.0,5397.73,1604.62
2026-12-20,Email,Desktop,246,219,537,0.391,208.0,16.0,14859.33,332.04
2026-05-19,Direct,Tablet,121,108,381,0.379,125.0,6.0,6770.52,0.0
2026-06-12,Direct,Mobile,481,410,1507,0.404,182.0,16.0,15662.15,0.0
2026-12-17,Direct,Mobile,278,242,917,0.395,117.0,12.0,9269.55,0.0
2026-03-10,Organic Search,Mobile,667,538,1899,0.462,140.0,14.0,11076.46,0.0
2026-06-12,Paid Search,Tablet,201,167,624,0.503,162.0,4.0,3194.02,1591.66
2026-09-29,Referral,Mobile,109,85,348,0.47,125.0,3.0,1781.89,203.92
2026-01-22,Referral,Desktop,149,126,458,0.413,189.0,4.0,3258.44,240.39
2026-11-27,Social Media,Mobile,355,300,898,0.551,176.0,9.0,6657.49,1082.22
2026-01-29,Social Media,Mobile,370,290,975,0.596,122.0,2.0,1191.68,1160.94
2026-05-08,Direct,Desktop,305,274,752,0.337,182.0,13.0,11753.56,0.0
2026-04-07,Referral,Desktop,226,198,544,0.407,232.0,11.0,7671.83,406.29
2026-06-01,Organic Search,Desktop,688,596,1463,0.419,186.0,22.0,25119.27,0.0
2026-08-16,Direct,Tablet,49,38,113,0.409,139.0,1.0,811.67,0.0
2026-03-16,Paid Search,Desktop,502,452,1327,0.378,170.0,17.0,12212.33,3718.66
2026-12-29,Organic Search,Mobile,587,463,1960,0.424,116.0,20.0,17067.5,0.0
2026-08-14,Organic Search,Mobile,668,555,1758,0.497,150.0,23.0,19701.14,0.0
2026-03-02,Email,Mobile,339,267,975,0.327,95.0,15.0,15900.71,424.88
2026-06-18,Organic Search,Mobile,785,617,2652,0.442,149.0,18.0,17325.42,0.0
2026-05-08,Referral,Mobile,248,216,532,0.441,111.0,8.0,5329.87,457.46
2026-12-05,Paid Search,Tablet,91,71,255,0.485,163.0,3.0,2640.19,838.76
2026-10-27,Referral,Desktop,180,145,592,0.446,145.0,5.0,3523.22,291.07
2026-10-22,Organic Search,Desktop,569,497,1387,0.34,122.0,18.0,12600.72,0.0
2026-01-19,Organic Search,Desktop,492,410,1419,0.308,196.0,14.0,12795.91,0.0
2026-02-25,Direct,Desktop,269,234,638,0.328,144.0,11.0,9978.52,0.0
2026-04-13,Paid Search,Desktop,489,430,1085,0.486,196.0,17.0,14431.95,4556.25
2026-05-19,Organic Search,Tablet,281,232,737,0.353,127.0,6.0,5874.72,0.0
2026-02-03,Email,Mobile,227,192,759,0.336,155.0,9.0,8561.85,303.32
2026-03-17,Paid Search,Mobile,585,470,2017,0.453,138.0,11.0,8888.38,5635.17
2026-08-17,Organic Search,Desktop,664,525,2277,0.365,186.0,24.0,23079.84,0.0
2026-03-17,Direct,Desktop,347,271,1130,0.378,222.0,14.0,13949.54,0.0
2026-12-08,Email,Tablet,143,129,454,0.323,170.0,14.0,12076.38,187.37
2026-09-23,Social Media,Desktop,395,338,939,0.525,191.0,12.0,8912.83,1292.47
2026-12-31,Paid Search,Tablet,120,106,302,0.38,145.0,2.0,1594.2,993.64
2026-08-23,Paid Search,Tablet,74,61,170,0.458,167.0,1.0,763.79,707.41
2026-04-12,Direct,Mobile,322,290,911,0.325,142.0,13.0,12800.19,0.0
2026-06-27,Email,Desktop,251,212,673,0.245,186.0,16.0,15851.69,283.84
2026-10-29,Social Media,Desktop,384,346,1167,0.515,181.0,6.0,3893.96,1192.61
2026-07-04,Direct,Tablet,34,26,83,0.325,162.0,2.0,2011.2,0.0
2026-06-25,Organic Search,Mobile,658,557,1747,0.426,129.0,12.0,9811.53,0.0
2026-01-15,Email,Tablet,36,31,125,0.341,147.0,2.0,1714.13,46.75
2026-01-14,Direct,Mobile,336,298,915,0.342,117.0,9.0,8967.89,0.0
2026-06-10,Direct,Desktop,365,310,990,0.325,183.0,15.0,17791.02,0.0
2026-07-06,Referral,Tablet,80,66,217,0.445,108.0,1.0,589.63,152.7
2026-01-26,Referral,Desktop,136,123,415,0.351,195.0,4.0,3580.07,213.83
2026-06-03,Paid Search,Tablet,183,144,544,0.495,87.0,8.0,5454.58,1537.39
2026-07-28,Social Media,Mobile,565,503,1812,0.543,114.0,13.0,6831.35,1738.86
2026-02-07,Referral,Desktop,119,95,274,0.464,149.0,2.0,1392.17,225.35
2026-11-03,Social Media,Mobile,418,371,967,0.595,122.0,7.0,4034.27,1406.21
2026-06-12,Email,Desktop,328,257,936,0.33,171.0,19.0,16848.77,360.66
2026-08-07,Paid Search,Tablet,174,141,582,0.488,160.0,7.0,4524.96,1629.65
2026-11-02,Direct,Desktop,326,290,807,0.315,200.0,13.0,13185.23,0.0
2026-06-10,Referral,Desktop,149,130,334,0.407,196.0,4.0,2538.45,247.88
2026-06-07,Referral,Tablet,56,43,138,0.331,123.0,4.0,3437.49,96.71
2026-06-30,Direct,Desktop,346,281,1143,0.392,207.0,14.0,16898.83,0.0
2026-01-06,Social Media,Desktop,285,244,991,0.565,161.0,4.0,2855.85,939.56
2026-10-31,Paid Search,Desktop,295,261,620,0.357,211.0,11.0,9568.02,2400.47
